Flow ID,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Total,Packet Count,Current Packet Length,Flow IAT Min,Flow IAT Max,Flow IAT Mean,Flow Duration,Label
162.159.136.232 10.0.2.16 443 35856 6,1153,1480,1439.125,11513,8,1480,42000.0,510000.0,176000.0,1232000.0,Discord
10.0.2.16 162.159.136.232 35856 443 6,40,40,40.0,320,8,40,106000.0,528000.0,222000.0,1554000.0,Discord
162.159.134.234 10.0.2.16 443 49870 6,40,1480,963.75,7710,8,40,24000.0,14847000.0,2378285.714285714,16648000.0,Discord
10.0.2.16 162.159.134.234 49870 443 6,40,171,65.875,527,8,116,165000.0,14531000.0,2327857.142857143,16295000.0,Discord
162.159.136.232 10.0.2.16 443 60286 6,1480,1480,1480.0,11840,8,1480,102000.0,3441000.0,805142.857142857,5635999.999999999,Discord
10.0.2.16 162.159.136.232 60286 443 6,40,40,40.0,320,8,40,134000.0,3526000.0,855285.714285714,5987000.000000001,Discord
10.0.2.16 162.159.133.234 32868 443 6,40,171,80.625,645,8,40,8453000.0,33124471000.0,5868614428.571428,41080301000.0,Discord
162.159.133.234 10.0.2.16 443 32868 6,40,299,94.125,753,8,80,498000.0,33124431000.0,5867404714.285715,41071833000.00001,Discord
10.0.2.16 162.159.138.232 52250 443 6,40,1500,312.625,2501,8,72,167000.0,229633000.0,55526428.571428575,388685000.0,Discord
162.159.138.232 10.0.2.16 443 52250 6,40,1480,437.375,3499,8,40,194000.0,230742000.0,55515714.28571428,388610000.0,Discord
162.159.136.234 10.0.2.16 443 55152 6,40,318,119.625,957,8,83,85429000.0,9986944000.0,4703313714.285714,32923196000.0,Discord
10.0.2.16 162.159.136.234 55152 443 6,40,82,45.25,362,8,40,86222000.0,9940909000.0,4696735285.714286,32877147000.0,Discord
10.0.2.16 162.159.138.232 34966 443 6,40,1500,419.125,3353,8,108,192000.0,227033000.0,56889571.42857143,398227000.00000006,Discord
162.159.138.232 10.0.2.16 443 34966 6,40,1431,459.875,3679,8,40,82000.0,227588000.0,56867285.71428573,398071000.00000006,Discord
162.159.136.234 10.0.2.16 443 48270 6,40,312,126.875,1015,8,127,57281000.0,11904521000.0,4466603428.571429,31266224000.0,Discord
10.0.2.16 162.159.136.234 48270 443 6,40,82,45.25,362,8,40,59483000.0,11904547000.0,4459871285.714286,31219099000.0,Discord
10.0.2.16 162.159.128.232 51886 443 6,40,124,77.125,617,8,40,444000.0,20539000.0,6261999.999999999,43834000.0,Discord
162.159.128.232 10.0.2.16 443 51886 6,40,959,222.75,1782,8,959,382000.0,20259000.0,6217000.0,43519000.0,Discord
162.159.136.234 10.0.2.16 443 49562 6,40,1480,963.625,7709,8,40,101000.0,22444000.0,3535428.571428571,24748000.0,Discord
10.0.2.16 162.159.136.234 49562 443 6,40,171,65.875,527,8,116,72000.0,21817000.0,3482571.428571429,24378000.0,Discord
10.0.2.16 162.159.137.232 49288 443 6,40,1500,497.625,3981,8,899,41000.0,3488417000.0,588395000.0,4118765000.0,Discord
162.159.137.232 10.0.2.16 443 49288 6,40,490,167.125,1337,8,40,108000.0,3489002000.0,588357571.4285715,4118503000.000001,Discord
10.0.2.16 162.159.135.234 38664 443 6,40,171,80.625,645,8,82,1526000.0,17705093000.0,5862149571.428572,41035047000.0,Discord
162.159.135.234 10.0.2.16 443 38664 6,40,301,103.125,825,8,40,1471000.0,17654835000.0,5862205714.285714,41035440000.0,Discord
10.0.2.16 162.159.137.232 50794 443 6,40,1500,432.5,3460,8,900,112000.0,3381762000.0,603204428.5714287,4222431000.000001,Discord
162.159.137.232 10.0.2.16 443 50794 6,40,458,164.5,1316,8,40,63000.0,3382242000.0,603163142.8571428,4222142000.0,Discord
10.0.2.16 162.159.138.232 49344 443 6,40,1500,308.75,2470,8,1500,278000.0,213793000.0,55285857.14285715,387001000.00000006,Discord
162.159.138.232 10.0.2.16 443 49344 6,40,1480,531.75,4254,8,40,297000.0,214329000.0,55315285.71428571,387207000.0,Discord
162.159.135.234 10.0.2.16 443 32838 6,40,295,124.125,993,8,114,75307000.0,11532812000.0,5077299857.142857,35541098999.99999,Discord
10.0.2.16 162.159.135.234 32838 443 6,40,82,45.25,362,8,40,77082000.0,11532774000.0,5070821000.0,35495746999.99999,Discord
10.0.2.16 162.159.138.232 38348 443 6,40,1500,441.375,3531,8,900,103000.0,3258984000.0,514382285.7142857,3600676000.0,Discord
162.159.138.232 10.0.2.16 443 38348 6,40,463,164.625,1317,8,40,105000.0,3263709000.0,514926000.0,3604482000.0,Discord
10.0.2.16 162.159.137.232 55824 443 6,40,899,418.375,3347,8,40,97408000.0,15732033000.0,4764474571.428572,33351322000.000004,Discord
162.159.137.232 10.0.2.16 443 55824 6,40,577,217.875,1743,8,577,96857000.0,15735676000.0,4764402142.857142,33350815000.0,Discord
162.159.135.234 10.0.2.16 443 44580 6,40,1480,967.125,7737,8,40,66000.0,12597000.0,3342142.857142857,23395000.0,Discord
10.0.2.16 162.159.135.234 44580 443 6,40,171,65.875,527,8,116,86000.0,12678000.0,3290285.714285715,23032000.0,Discord
10.0.2.16 162.159.137.232 34148 443 6,40,1500,497.375,3979,8,899,43000.0,3493486000.0,580637714.2857143,4064464000.0,Discord
162.159.137.232 10.0.2.16 443 34148 6,40,460,164.25,1314,8,40,62000.0,3494041000.0,580667714.2857143,4064674000.0,Discord
10.0.2.16 162.159.137.232 40900 443 6,40,1500,321.125,2569,8,108,53000.0,124020000.0,44588428.571428575,312119000.00000006,Discord
162.159.137.232 10.0.2.16 443 40900 6,40,1480,446.625,3573,8,40,49000.0,123656000.0,44633428.57142857,312434000.0,Discord
162.159.133.234 10.0.2.16 443 34018 6,40,295,124.75,998,8,40,93326000.0,16086362999.999998,4854015428.571428,33978108000.0,Discord
10.0.2.16 162.159.133.234 34018 443 6,40,82,45.25,362,8,82,93352000.0,16086319000.0,4847189571.428572,33930327000.0,Discord
10.0.2.16 162.159.137.232 55072 443 6,40,1500,308.875,2471,8,1500,397000.0,271484000.0,57572428.571428575,403007000.0,Discord
162.159.137.232 10.0.2.16 443 55072 6,40,1480,449.125,3593,8,40,373000.0,272416000.0,57641142.85714285,403488000.0,Discord
162.159.135.234 10.0.2.16 443 58670 6,40,293,123.125,985,8,40,97154000.0,18336442000.0,4898200000.000001,34287400000.000004,Discord
10.0.2.16 162.159.135.234 58670 443 6,40,82,45.25,362,8,82,46329000.0,18336458000.0,4890825000.0,34235775000.0,Discord
162.159.128.233 10.0.2.16 443 43098 6,40,1480,472.75,3782,8,40,46000.0,258297000.0,76154857.14285715,533084000.0,Discord
10.0.2.16 162.159.128.233 43098 443 6,40,1500,329.125,2633,8,567,71000.0,257959000.0,70107571.42857142,490753000.0,Discord
162.159.133.234 10.0.2.16 443 41964 6,81,286,122.125,977,8,81,115817000.0,18426599000.0,4803912428.571428,33627387000.0,Discord
10.0.2.16 162.159.133.234 41964 443 6,40,40,40.0,320,8,40,115761000.0,18426546000.0,4797434571.428572,33582042000.0,Discord
10.0.2.16 162.159.135.232 42856 443 6,40,1500,354.125,2833,8,403,157000.0,224758000.0,53782714.28571429,376479000.0,Discord
162.159.135.232 10.0.2.16 443 42856 6,40,1480,480.0,3840,8,40,96000.0,225441000.0,53701285.71428571,375909000.0,Discord
162.159.136.234 10.0.2.16 443 58910 6,40,298,117.75,942,8,73,70759000.0,15312283000.0,7227314285.714286,50591200000.0,Discord
10.0.2.16 162.159.136.234 58910 443 6,40,82,50.5,404,8,40,71314000.0,15312286000.0,7218693428.571428,50530854000.0,Discord
162.159.128.233 10.0.2.16 443 58578 6,40,1480,480.5,3844,8,40,116000.0,1109117000.0,201870428.57142857,1413093000.0,Discord
10.0.2.16 162.159.128.233 58578 443 6,40,1500,355.875,2847,8,699,75000.0,1108543000.0,201795428.57142857,1412568000.0,Discord
10.0.2.16 162.159.136.234 49066 443 6,40,775,148.25,1186,8,171,145000.0,134658000.0,22713000.0,158991000.0,Discord
162.159.136.234 10.0.2.16 443 49066 6,40,1480,964.375,7715,8,40,80000.0,134181000.0,22740714.28571428,159184999.99999997,Discord
162.159.137.232 10.0.2.16 443 56302 6,40,610,148.0,1184,8,40,395000.0,322780000.0,87805142.85714288,614636000.0000001,Discord
10.0.2.16 162.159.137.232 56302 443 6,40,1500,341.875,2735,8,75,383000.0,322252000.0,87683428.5714286,613784000.0000001,Discord
162.159.133.234 10.0.2.16 443 55860 6,81,325,133.125,1065,8,81,105206000.0,8553597000.0,3436353000.0,24054471000.0,Discord
10.0.2.16 162.159.133.234 55860 443 6,40,40,40.0,320,8,40,105094000.0,8553678000.0,3429695285.7142854,24007867000.0,Discord
10.0.2.16 162.159.135.232 45946 443 6,40,1500,328.875,2631,8,565,47000.0,162609000.0,54358142.85714286,380507000.00000006,Discord
162.159.135.232 10.0.2.16 443 45946 6,40,1480,513.5,4108,8,40,66000.0,162245000.0,54334285.71428572,380340000.0,Discord
10.0.2.16 162.159.137.232 51128 443 6,40,1500,370.875,2967,8,901,414000.0,1304301000.0,216060142.85714287,1512421000.0,Discord
162.159.137.232 10.0.2.16 443 51128 6,40,1480,526.5,4212,8,40,88000.0,1305481000.0,216081285.7142857,1512568999.9999998,Discord
10.0.2.16 162.159.137.232 36332 443 6,40,1500,360.125,2881,8,40,295000.0,260698000.0,71960857.14285713,503725999.9999999,Discord
162.159.137.232 10.0.2.16 443 36332 6,40,589,197.125,1577,8,461,83000.0,260069000.0,71519142.85714285,500634000.0,Discord
162.159.135.234 10.0.2.16 443 58190 6,40,1480,970.875,7767,8,40,95000.0,27158000.0,4598142.857142857,32187000.0,Discord
10.0.2.16 162.159.135.234 58190 443 6,40,171,65.875,527,8,116,157000.0,26233000.0,4556142.857142856,31893000.0,Discord
10.0.2.16 162.159.128.233 46180 443 6,40,1500,369.0,2952,8,522,27000.0,231289000.0,56642857.14285714,396500000.0,Discord
162.159.128.233 10.0.2.16 443 46180 6,40,1480,540.5,4324,8,40,39000.0,231724000.0,56574428.571428575,396021000.0,Discord
162.159.128.233 10.0.2.16 443 56134 6,40,1480,577.625,4621,8,40,1593000.0,428450000.0,126037142.85714284,882259999.9999999,Discord
10.0.2.16 162.159.128.233 56134 443 6,40,1500,328.0,2624,8,1500,1569000.0,421974000.0,125094285.71428576,875660000.0000001,Discord
162.159.134.234 10.0.2.16 443 50064 6,40,1480,964.375,7715,8,40,39000.0,23724000.0,3935857.142857143,27551000.0,Discord
10.0.2.16 162.159.134.234 50064 443 6,40,171,65.875,527,8,116,11000.0,23115000.0,3854285.714285714,26980000.0,Discord
162.159.130.234 10.0.2.16 443 44988 6,82,280,126.625,1013,8,86,101580000.0,13928444000.0,5636809285.714286,39457665000.0,Discord
10.0.2.16 162.159.130.234 44988 443 6,40,40,40.0,320,8,40,101508000.0,13928461000.0,5630745714.285715,39415220000.00001,Discord
10.0.2.16 162.159.128.233 56700 443 6,40,1500,369.0,2952,8,522,47000.0,241057000.0,59208714.28571428,414461000.0,Discord
162.159.128.233 10.0.2.16 443 56700 6,40,1480,478.375,3827,8,40,45000.0,241428000.0,59216857.14285714,414518000.0,Discord
162.159.133.234 10.0.2.16 443 60934 6,40,305,125.125,1001,8,80,78598000.0,27583123000.0,4855254571.428572,33986782000.0,Discord
10.0.2.16 162.159.133.234 60934 443 6,40,82,45.25,362,8,40,53851000.0,27583156000.0,4849328000.000001,33945296000.000008,Discord
10.0.2.16 162.159.138.232 43340 443 6,40,1500,369.125,2953,8,524,197000.0,222741000.0,56935857.14285714,398551000.0,Discord
162.159.138.232 10.0.2.16 443 43340 6,40,1480,469.625,3757,8,40,87000.0,223380000.0,56904142.85714286,398329000.0,Discord
162.159.133.234 10.0.2.16 443 59576 6,40,313,117.75,942,8,83,64388000.0,10102852000.0,4169362000.000001,29185534000.0,Discord
10.0.2.16 162.159.133.234 59576 443 6,40,82,45.25,362,8,40,65111000.0,10054676000.0,4162553999.999999,29137878000.0,Discord
162.159.130.234 10.0.2.16 443 58636 6,81,270,127.25,1018,8,133,128624000.0,19393698000.0,4276038285.714286,29932268000.0,Discord
10.0.2.16 162.159.130.234 58636 443 6,40,40,40.0,320,8,40,128594000.0,19393705000.0,4268889428.571429,29882226000.0,Discord
162.159.136.232 10.0.2.16 443 33462 6,40,1480,474.125,3793,8,459,45000.0,1696497000.0,260456142.85714287,1823193000.0,Discord
10.0.2.16 162.159.136.232 33462 443 6,40,1500,378.25,3026,8,40,44000.0,1695610000.0,265113428.57142857,1855794000.0,Discord
10.0.2.16 162.159.135.232 49036 443 6,40,1083,219.375,1755,8,283,1095000.0,251790000.0,65927571.42857143,461493000.00000006,Discord
162.159.135.232 10.0.2.16 443 49036 6,40,672,122.875,983,8,40,976000.0,252846000.00000003,65954857.142857134,461684000.0,Discord
162.159.135.234 10.0.2.16 443 50834 6,40,1480,1125.625,9005,8,234,36000.0,127943000.0,20930428.57142857,146513000.0,Discord
10.0.2.16 162.159.135.234 50834 443 6,40,775,131.875,1055,8,40,148000.0,128460000.0,20919714.285714287,146438000.0,Discord
162.159.130.234 10.0.2.16 443 51782 6,40,1480,1132.875,9063,8,286,164000.0,214911000.0,31732571.42857143,222128000.0,Discord
10.0.2.16 162.159.130.234 51782 443 6,40,775,131.875,1055,8,40,184000.0,215343000.0,31732142.85714285,222125000.0,Discord
10.0.2.16 162.159.135.232 46694 443 6,40,1500,453.125,3625,8,298,56000.0,1173738000.0,214342285.71428573,1500396000.0,Discord
162.159.135.232 10.0.2.16 443 46694 6,40,458,170.75,1366,8,40,144000.0,1174309000.0,214330428.57142857,1500313000.0,Discord
10.0.2.16 162.159.135.232 53192 443 6,40,1500,379.25,3034,8,108,74000.0,293064000.0,62178428.57142858,435249000.00000006,Discord
162.159.135.232 10.0.2.16 443 53192 6,40,1480,448.5,3588,8,40,103000.0,293682000.0,62151714.28571429,435062000.0,Discord
162.159.135.234 10.0.2.16 443 45180 6,82,329,130.25,1042,8,86,93234000.0,8470078000.000001,3132632714.2857146,21928429000.0,Discord
10.0.2.16 162.159.135.234 45180 443 6,40,40,40.0,320,8,40,93247000.0,8470064000.000001,3126409714.285714,21884868000.0,Discord
162.159.130.234 10.0.2.16 443 45196 6,40,205,116.75,934,8,205,65921999.99999999,23380876000.0,9207475285.714285,64452327000.0,Discord
10.0.2.16 162.159.130.234 45196 443 6,40,83,45.375,363,8,40,66522000.0,23380907000.0,9207479285.714285,64452355000.0,Discord
10.0.2.16 162.159.137.232 56532 443 6,40,1500,410.5,3284,8,855,28000.0,281097000.0,65239571.42857143,456677000.0,Discord
162.159.137.232 10.0.2.16 443 56532 6,40,1480,483.0,3864,8,40,109000.0,281492000.0,65229142.85714286,456604000.0,Discord
162.159.136.234 10.0.2.16 443 36584 6,40,1480,962.75,7702,8,40,242000.0,27625000.0,4233714.285714286,29636000.0,Discord
10.0.2.16 162.159.136.234 36584 443 6,40,171,65.875,527,8,116,282000.0,27165000.0,4185714.285714286,29300000.000000004,Discord
10.0.2.16 162.159.137.232 40764 443 6,40,1500,410.875,3287,8,857,68000.0,961499000.0,157064428.57142857,1099451000.0,Discord
162.159.137.232 10.0.2.16 443 40764 6,40,1480,477.625,3821,8,40,57000.0,961950000.0,157026857.1428571,1099187999.9999998,Discord
162.159.136.234 10.0.2.16 443 42430 6,40,1480,962.875,7703,8,40,42000.0,13010000.0,2068000.0,14476000.000000002,Discord
10.0.2.16 162.159.136.234 42430 443 6,40,171,65.875,527,8,116,59000.0,12517000.0,2007571.428571428,14053000.0,Discord
10.0.2.16 162.159.136.232 53744 443 6,40,1500,419.25,3354,8,40,60000.0,310490000.0,65778285.71428571,460448000.0,Discord
162.159.136.232 10.0.2.16 443 53744 6,40,1480,472.375,3779,8,1480,43000.0,310834000.0,65705428.57142858,459938000.00000006,Discord
10.0.2.16 162.159.134.234 34032 443 6,40,116,60.0,480,8,40,53400000.0,40998489000.0,11758346999.999998,82308428999.99998,Discord
162.159.134.234 10.0.2.16 443 34032 6,40,295,105.75,846,8,73,46987000.0,40999657000.0,11758267857.142857,82307875000.0,Discord
10.0.2.16 162.159.136.232 47808 443 6,40,1500,369.125,2953,8,524,24000.0,292734000.0,76766571.42857143,537366000.0,Discord
162.159.136.232 10.0.2.16 443 47808 6,40,1480,482.625,3861,8,40,39000.0,293112000.0,76756285.71428572,537294000.0,Discord
10.0.2.16 162.159.135.234 45234 443 6,40,171,80.625,645,8,40,3114000.0,34836162000.0,8223006714.285713,57561046999.99999,Discord
162.159.135.234 10.0.2.16 443 45234 6,40,297,106.625,853,8,185,3016000.0,34787705000.0,8222954571.428572,57560682000.0,Discord
162.159.136.234 10.0.2.16 443 55268 6,40,1480,963.25,7706,8,40,14000.0,24742000.0,4177142.857142858,29240000.000000004,Discord
10.0.2.16 162.159.136.234 55268 443 6,40,171,65.875,527,8,116,58000.0,24157000.0,4096142.857142857,28673000.0,Discord
162.159.128.233 10.0.2.16 443 49454 6,40,1480,500.875,4007,8,40,96000.0,360846000.0,105656428.57142858,739595000.0000001,Discord
10.0.2.16 162.159.128.233 49454 443 6,40,1500,370.625,2965,8,381,42000.0,360457000.0,105577571.42857142,739043000.0,Discord
162.159.136.234 10.0.2.16 443 44268 6,40,1480,965.25,7722,8,40,26000.0,22968000.0,3845000.0,26915000.0,Discord
10.0.2.16 162.159.136.234 44268 443 6,40,171,65.875,527,8,116,14000.0,22480000.0,3761285.714285714,26329000.0,Discord
162.159.138.232 10.0.2.16 443 58826 6,40,1480,557.875,4463,8,461,109000.0,302893000.0,67796571.42857143,474576000.0,Discord
10.0.2.16 162.159.138.232 58826 443 6,40,1500,338.25,2706,8,40,22000.0,302609000.0,67794857.14285715,474564000.00000006,Discord
162.159.136.234 10.0.2.16 443 40704 6,40,308,136.375,1091,8,202,47839000.0,39263094000.0,8788091714.285715,61516642000.00001,Discord
10.0.2.16 162.159.136.234 40704 443 6,40,82,45.25,362,8,40,48745000.0,39210234000.0,8780661714.285713,61464631999.99999,Discord
10.0.2.16 162.159.135.232 38016 443 6,40,1500,370.375,2963,8,380,151000.0,312730000.0,72397571.42857142,506783000.0,Discord
162.159.135.232 10.0.2.16 443 38016 6,40,1480,491.25,3930,8,40,85000.0,314607000.0,72416142.85714287,506913000.00000006,Discord
162.159.134.234 10.0.2.16 443 58100 6,40,306,119.625,957,8,83,61292000.0,31960214000.0,6065600857.142857,42459205999.99999,Discord
10.0.2.16 162.159.134.234 58100 443 6,40,82,45.25,362,8,40,61785000.0,31959697000.0,6065600571.428571,42459204000.0,Discord
10.0.2.16 162.159.128.233 56880 443 6,40,1500,343.25,2746,8,108,53000.0,180096000.0,72891571.42857143,510241000.00000006,Discord
162.159.128.233 10.0.2.16 443 56880 6,40,1480,505.875,4047,8,40,98000.0,188152000.0,73949999.99999999,517650000.0,Discord
162.159.135.234 10.0.2.16 443 50552 6,40,331,124.625,997,8,40,113826000.0,11322825000.0,4640775000.0,32485425000.0,Discord
10.0.2.16 162.159.135.234 50552 443 6,40,82,45.25,362,8,82,113796000.0,11322793000.0,4640446571.428572,32483126000.000004,Discord
162.159.136.232 10.0.2.16 443 51746 6,40,1480,538.5,4308,8,40,208000.0,301660000.0,79698285.7142857,557887999.9999999,Discord
10.0.2.16 162.159.136.232 51746 443 6,40,1500,263.125,2105,8,1500,194000.0,300661000.0,79438142.85714288,556067000.0000001,Discord
162.159.135.234 10.0.2.16 443 48648 6,40,1480,961.0,7688,8,40,125000.0,22879000.0,3878000.0,27146000.0,Discord
10.0.2.16 162.159.135.234 48648 443 6,40,171,65.875,527,8,116,166000.0,22444000.0,3760714.285714285,26325000.0,Discord
162.159.137.232 10.0.2.16 443 38170 6,1120,1480,1435.0,11480,8,1480,40000.0,5329000.0,904285.714285714,6330000.000000001,Discord
10.0.2.16 162.159.137.232 38170 443 6,40,648,126.25,1010,8,40,268000.0,150728000.0,24347428.57142857,170432000.0,Discord
162.159.135.234 10.0.2.16 443 57174 6,40,1480,960.375,7683,8,40,160000.0,15013000.0,2366857.142857143,16568000.0,Discord
10.0.2.16 162.159.135.234 57174 443 6,40,171,65.875,527,8,116,178000.0,14390000.0,2324571.428571429,16272000.000000002,Discord
162.159.137.232 10.0.2.16 443 44660 6,40,1480,481.5,3852,8,336,44000.0,332974000.0,64409285.71428571,450865000.0,Discord
10.0.2.16 162.159.137.232 44660 443 6,40,1500,332.875,2663,8,40,18000.0,332546000.0,64409142.85714286,450864000.00000006,Discord
162.159.136.234 10.0.2.16 443 54546 6,40,1480,1126.5,9012,8,250,112000.0,136345000.0,20550857.14285714,143855999.99999997,Discord
10.0.2.16 162.159.136.234 54546 443 6,40,775,131.875,1055,8,40,170000.0,137240000.0,20564285.714285716,143950000.0,Discord
10.0.2.16 162.159.128.233 53776 443 6,40,1500,336.375,2691,8,40,148000.0,35603000.0,14258857.142857142,99812000.0,Discord
162.159.128.233 10.0.2.16 443 53776 6,40,1480,598.0,4784,8,1333,116000.0,35617000.0,13815714.28571429,96710000.0,Discord
10.0.2.16 162.159.128.233 33290 443 6,40,1500,337.625,2701,8,108,28000.0,365530000.0,75199571.42857143,526397000.0,Discord
162.159.128.233 10.0.2.16 443 33290 6,40,1480,410.375,3283,8,40,145000.0,365979000.0,75252571.42857143,526768000.0,Discord
10.0.2.16 162.159.136.234 50130 443 6,40,171,65.875,527,8,116,126000.0,21572000.0,3525714.285714285,24680000.0,Discord
162.159.136.234 10.0.2.16 443 50130 6,40,1480,781.625,6253,8,40,65000.0,22203000.0,5806714.285714285,40647000.0,Discord
162.159.136.234 10.0.2.16 443 57386 6,40,1480,635.25,5082,8,319,88000.0,3851586000.0,555500857.1428571,3888506000.0,Discord
10.0.2.16 162.159.136.234 57386 443 6,40,171,75.375,603,8,40,153000.0,3895988000.0,561772000.0,3932404000.0,Discord
162.159.135.234 10.0.2.16 443 48442 6,40,1480,961.75,7694,8,40,98000.0,18930000.0,3102000.0,21714000.0,Discord
10.0.2.16 162.159.135.234 48442 443 6,40,171,65.875,527,8,116,251000.0,18398000.0,3018142.857142857,21127000.0,Discord
10.0.2.16 162.159.135.232 57060 443 6,40,1500,448.875,3591,8,701,70000.0,447954000.0,151419571.42857146,1059937000.0,Discord
162.159.135.232 10.0.2.16 443 57060 6,40,461,164.625,1317,8,40,77000.0,448524000.0,151446285.7142857,1060124000.0,Discord
162.159.135.232 10.0.2.16 443 40658 6,40,1480,507.375,4059,8,334,72000.0,458076000.0,86527428.57142857,605692000.0,Discord
10.0.2.16 162.159.135.232 40658 443 6,40,1500,297.0,2376,8,40,187000.0,457278000.0,86531000.0,605717000.0,Discord
162.159.135.234 10.0.2.16 443 60516 6,40,272,120.75,966,8,124,68736000.0,18889732000.0,6292726000.0,44049082000.0,Discord
10.0.2.16 162.159.135.234 60516 443 6,40,82,45.25,362,8,40,69400000.0,18848166000.0,6286788285.714287,44007518000.00001,Discord
10.0.2.16 162.159.135.234 54986 443 6,40,116,59.0,472,8,40,14239000.0,18446543000.0,4732170142.857143,33125191000.0,Discord
162.159.135.234 10.0.2.16 443 54986 6,40,291,116.5,932,8,178,13134000.0,18446506000.0,4731938714.285713,33123571000.0,Discord
31.13.80.34 10.0.2.16 443 40584 6,40,403,135.75,1086,8,66,8000000.0,15556000000.0,3906285571.428571,27343999000.0,Messenger
10.0.2.16 31.13.80.34 40584 443 6,40,316,113.25,906,8,40,6574000.0,15561641000.0,3906285571.428572,27343999000.0,Messenger
31.13.80.34 10.0.2.16 443 46030 6,40,760,204.25,1634,8,40,4000000.0,25667999000.0,4643428428.571428,32503999000.0,Messenger
10.0.2.16 31.13.80.34 46030 443 6,40,314,93.375,747,8,91,6856000.0,25673417000.0,4643925857.142857,32507481000.0,Messenger
10.0.2.16 31.13.80.34 45254 443 6,40,314,113.125,905,8,40,13703000.0,2414989000.0,633142857.1428571,4431999999.999999,Messenger
31.13.80.34 10.0.2.16 443 45254 6,40,760,163.625,1309,8,66,12000000.0,2412000000.0,632571428.5714285,4428000000.0,Messenger
10.0.2.16 31.13.80.34 56378 443 6,40,316,100.0,800,8,91,16027000.0,10011999000.0,2553142714.285714,17871999000.0,Messenger
31.13.80.34 10.0.2.16 443 56378 6,40,761,160.5,1284,8,40,12000000.0,10003999000.0,2551999857.142857,17863999000.0,Messenger
31.13.80.34 10.0.2.16 443 55466 6,40,762,204.375,1635,8,762,20000000.0,14352000000.0,3910857142.857144,27376000000.000004,Messenger
10.0.2.16 31.13.80.34 55466 443 6,40,319,94.0,752,8,40,25573000.0,14354389000.0,3910742428.571429,27375197000.000004,Messenger
10.0.2.16 31.13.80.34 52664 443 6,40,316,113.5,908,8,40,6452000.0,26142858000.0,4003289857.1428566,28023029000.0,Messenger
31.13.80.34 10.0.2.16 443 52664 6,40,257,73.625,589,8,257,8000000.0,26139999000.0,4003428428.571428,28023999000.0,Messenger
